"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Intelligent Radio Access Network Slicing for Service Provisioning in 6G: A Hierarchical Deep Reinforcement Learning Approach","J. Mei; X. Wang; K. Zheng; G. Boudreau; A. B. Sediq; H. Abou-Zeid","Department of Electrical and Computer Engineering, Western University, London, ON, Canada; Department of Electrical and Computer Engineering, Western University, London, ON, Canada; Intelligent Computing and Communication (IC2) Laboratory, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Ericsson Canada Inc., Ottawa, ON, Canada; Ericsson Canada Inc., Ottawa, ON, Canada; Ericsson Canada Inc., Ottawa, ON, Canada",IEEE Transactions on Communications,"15 Sep 2021","2021","69","9","6063","6078","Network slicing is a key paradigm in 5G and is expected to be inherited in future 6G networks for the concurrent provisioning of diverse quality of service (QoS). Unfortunately, effective slicing of Radio Access Networks (RAN) is still challenging due to time-varying network situations. This paper proposes a new intelligent RAN slicing strategy with two-layered control granularity, which aims at maximizing both the long-term QoS of services and spectrum efficiency (SE) of slices. The proposed method consists of an upper-level controller to ensure the QoS performance, which enforces loose control by performing adaptive slice configuration according to the long-term dynamics of service traffic. The lower-level controller is to improve SE of slices, by tightly scheduling radio resources to users at the small time-scale. To realize the proposed RAN slicing strategy, we propose a model-free deep reinforcement learning (DRL) framework, which is a hierarchical structure that collaboratively integrating the modified deep deterministic policy gradient (DDPG) and double deep-Q-network algorithm. Specifically, the lower-level control problem is a mixed-integer stochastic optimization problem with multiple constraints. This kind of problem is hard to be directly solved by the exiting DRL algorithms, since it involves searching for the solution in a vast set of mixed-integer action space, which will induce unbearable computational complexity. Thus, we propose a novel action space reducing approach, embedding the convex optimization tools into the DDPG algorithm, to speed up the lower-level control. Furthermore, simulation results confirm the effectiveness of our proposed intelligent RAN slicing scheme.","1558-0857","","10.1109/TCOMM.2021.3090423","Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Program(grant numbers:RGPIN2018-06254); Canada Research Chair Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459763","Network slicing;5G beyond;6G;deep reinforcement learning;and radio resource management","Quality of service;Network slicing;Stochastic processes;Resource management;Optimization;Mathematical model;Dynamic scheduling","","84","","34","IEEE","18 Jun 2021","","","IEEE","IEEE Journals"
"Customized Slicing for 6G: Enforcing Artificial Intelligence on Resource Management","W. Guan; H. Zhang; V. C. M. Leung","University of Science and Technology, Beijing, China; University of Science and Technology, Beijing, China; Shenzhen University, China",IEEE Network,"8 Nov 2021","2021","35","5","264","271","Next generation wireless networks are expected to support diverse vertical industries and offer countless emerging use cases. To satisfy stringent requirements of diversified services, network slicing is developed, which enables service-oriented resource allocation by tailoring the infrastructure network into multiple logical networks. However, there are still some challenges in cross-domain multi-dimensional resource management for end-to-end (E2E) slices under the dynamic and uncertain environment. Trading off the revenue and cost of resource allocation while guaranteeing service quality is significant to tenants. Therefore, this article introduces a hierarchical resource management framework, utilizing deep reinforcement learning in admission control of resource requests from different tenants and resource adjustment within admitted slices for each tenant. In particular, we first discuss the challenges in customized resource management of 6G. Second, the motivation and background are presented to explain why artificial intelligence (AI) is applied in resource customization of multi-tenant slicing. Third, E2E resource management is decomposed into two problems, multi-dimensional resource allocation decision based on slice-level feedback, and real-time slice adaption aimed at avoiding service quality degradation. Simulation results demonstrate the effectiveness of AI-based customized slicing. Finally, several significant challenges that need to be addressed in practical implementation are investigated.","1558-156X","","10.1109/MNET.011.2000644","National Key R&D Program of China(grant numbers:2019YFB1803304); National Natural Science Foundation of China(grant numbers:61822104,61771044,B170003); Fundamental Research Funds for the Central Universities(grant numbers:FRF-TP-19-002C1,FRF-TP-19-0S1A1,RC1631); University of Science and Technology Beijing; Communication University of China(grant numbers:SKLMCC2020KF010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382026","","Resource management;6G mobile communication;Network slicing;Dynamic scheduling;Decision making;Real-time systems","","58","","15","IEEE","19 Mar 2021","","","IEEE","IEEE Magazines"
"Latest Advances in Spectrum Management for 6G Communications","L. -C. Wang; H. Peng; A. C. -S. Huang; A. -H. Tsai","Department of Electrical and Computer Engineering, National Yang Ming Chiao Tung University, Taiwan; Department of Electrical and Computer Engineering, National Yang Ming Chiao Tung University, Taiwan; Department of Electrical and Computer Engineering, National Yang Ming Chiao Tung University, Taiwan; Department of Electrical and Computer Engineering, National Yang Ming Chiao Tung University, Taiwan",2021 30th Wireless and Optical Communications Conference (WOCC),"15 Nov 2021","2021","","","295","297","In this paper, we discuss the new challenges and solutions of managing spectrum in 6G wireless communications when unmanned aerial vehicle (UAV) base stations are equipped with and reconfigurable intelligent surface (RIS). UAV-aided communications can help meet the dynamic traffic demand of mobile crowds. However, the extreme quality of service (QoS) requirement in 6G mobile network poses several challenges of low energy-efficient and insufficient link capacity for UAV communications. However, UAV base station cause the coverage overlapping issues in 3D cellular network and face the energy-limited issue. RIS can adjust the phase shift, amplitude, polarization, and frequency of the incident electromagnetic wave to improve spectral efficiency and reduce interference. The other important spectrum management issue in 6G wireless is to design the efficient and effective spectrum sharing mechanism in a co-existing environment with enhanced mobile broadband (eMBB), ultra-reliable low-latency communications (URLLCs) and massive machine-type communications (mMTCs) traffic flows. The state of the art data-driven deployment strategies and learning-based spectrum management techniques for 6G wireless are surveyed in this paper.","2379-1276","978-1-6654-2772-2","10.1109/WOCC53213.2021.9603218","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603218","RIS;spectrum sharing","6G mobile communication;Wireless communication;Base stations;Three-dimensional displays;Spectral efficiency;Quality of service;Ultra reliable low latency communication","","2","","10","IEEE","15 Nov 2021","","","IEEE","IEEE Conferences"
"Zero-Touch AI-Driven Distributed Management for Energy-Efficient 6G Massive Network Slicing","H. Chergui; L. Blanco; L. A. Garrido; K. Ramantas; S. Kukliński; A. Ksentini; C. Verikoukis","CTTC, Barcelona; CTTC, Barcelona; Iquadrat; Iquadrat; Orange and Warsaw University of Technology; EURECOM; University of Patras",IEEE Network,"20 Jan 2022","2021","35","6","43","49","Sixth-generation (6G) systems are expected to inaugurate the era of massive and extremely heterogeneous network slicing, where tenancy would be extended to the final consumer with the proliferation of advanced and diverse digital services. This introduces significant challenges to network management and orchestration in terms of scalability and sustainability. This article starts by elaborating on the architectural and artificial-in-telligence-based algorithmic designs to achieve energy efficiency (EE) in 6G, as well as analyzing their trade-offs. The article then introduces a novel statistical federated learning (StFL)-based analytic engine for zero-touch 6G massive network slicing, which performs slice-level resource prediction by learning in an offline fashion while respecting some preset long-term service level agreement (SLA) constraints defined in terms of the empirical cumulative distribution function and the percentile statistics, and hence uses a new proxy-Lagrangian two-player strategy to solve the local non-convex federated learning task without settling for surro-gates only. This guarantees 20 × lower service-lev-el agreement (SLA) violation rate with respect to the federated averaging (FedAvg) scheme, while achieving more than 10 × EE gain compared to an SLA-constrained centralized deep learning algorithm, which paves the way to sustainable mas-sive network slicing. Finally, the key open research directions in this emerging area are identified.","1558-156X","","10.1109/MNET.111.2100322","WUT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687472","","6G mobile communication;Network slicing;Scalability;Collaborative work;Prediction algorithms;Energy efficiency;Task analysis","","50","","15","IEEE","20 Jan 2022","","","IEEE","IEEE Magazines"
"Geolocation Clustering for Radio Resource Management in 6G Networks","S. Shekhar; A. G. Pai; H. Srikanth Kamath","Department of Electronics and Communication, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Electronics and Communication, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Electronics and Communication, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India","2021 Fourth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","29 Nov 2021","2021","","","1","7","The rise of IoT signals towards the increased integration of AI into day-to-day life, with nearly all the elements in the surroundings being embedded with sensors. This leads to data-intensive applications requiring versatile wireless connectivity to deliver results in real-time. In order to achieve these ambitious targets, 6G is being touted to bring about massive software as well as hardware innovations; ranging from AI-enabled network architecture to mobile edge computing.A major hardware innovation in 6G, as compared to 5G, is the introduction of mobile base-stations which would provide dynamic network reconfiguration and increased connectivity. We propose a clustering methodology in this paper to enable optimum resource allocation by assigning the base stations to hot-spots with heavy traffic requirements. This would provide a way for all user devices to be covered under the network without putting excessive strain on the network resources.","","978-1-6654-1480-7","10.1109/ICECCT52121.2021.9616915","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616915","6G;Radio Resource Management;Geolocation Clustering;Aerial Base Station;Density-Based Spatial Clustering of Applications with Noise","6G mobile communication;Wireless communication;Technological innovation;Wireless sensor networks;Hardware;Software;Real-time systems","","","","16","IEEE","29 Nov 2021","","","IEEE","IEEE Conferences"
"Channel Estimation for Intelligent Reflecting Surface in 6G Wireless Network via Deep Learning Technique","R. Q. Shaddad; E. M. Saif; H. M. Saif; Z. Y. Mohammed; A. H. Farhan","Communication Engineering, Taiz University, Taiz, Yemen; Communication Engineering, Taiz University, Taiz, Yemen; Communication Engineering, Taiz University, Taiz, Yemen; Communication Engineering, Taiz University, Taiz, Yemen; Communication Engineering, Taiz University, Taiz, Yemen",2021 1st International Conference on Emerging Smart Technologies and Applications (eSmarTA),"23 Aug 2021","2021","","","1","5","Channel estimation for the wireless link has several challenges the hardest challenge is the randomness in the real channel. In the 6G wireless networks, the Intelligent Reflecting Surface (IRS) mitigate the problems in massive multiple input multiple output (mMIMO) in 5G like high cost, low coverage and high-power consumption. Communication network with (mMIMO) and IRS must approach smart network to enhance quality of service and reduce path loss. In this paper, simulation of the direct channel and the cascade channel was implemented with multipath for different users as point to multipoint transmission to improve robustness of the estimation. Channel estimation for the network makes base station (BS) and IRS work with each other adaptively by using deep learning. The output performance of the estimation is checked by root mean square error (RMSE), training loss, complexity and time delay for channel training. The validation RMSE in the direct channels arrives to 0.375 while it arrives to 1.116 in the cascade channels. Normalize mean square error (NMSE) is studied with respect to signal to noise ratio (SNR) to show the more stable channel with SNR.","","978-1-6654-4078-3","10.1109/eSmarTA52612.2021.9515730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515730","Intelligent Reflecting Surface;Deep Learning;Channel Estimation;6G Wireless Networks","Training;Deep learning;6G mobile communication;Wireless networks;Channel estimation;Estimation;Quality of service","","10","","8","IEEE","23 Aug 2021","","","IEEE","IEEE Conferences"
"Intelligent Task Offloading for 6G-Enabled Maritime IoT Based on Reinforcement Learning","Z. Wang; B. Lin; L. Sun; Y. Wang","School of Information Science and Technology, Dalian maritime university, Dalian, China; School of Information Science and Technology, Dalian maritime university, Dalian, China; School of Information Science and Technology, Dalian maritime university, Dalian, China; School of Information Science and Technology, Dalian maritime university, Dalian, China","2021 International Conference on Security, Pattern Analysis, and Cybernetics（SPAC)","27 Sep 2021","2021","","","566","570","With the continuous increase of maritime activities, maritime Internet of Things (M-IoT) devices are also growing explosively, which puts forward higher requirements for maritime networks with limited resources and complex environment. As the basis of 6G edge intelligence, edge computing technology can be adopted to deal with massive heterogeneous ocean data effectively to meet the needs of different maritime application scenarios. To improve the execution efficiency of maritime edge computing under the constraints of delay and energy consumption, we propose an edge computing network architecture for M-IoT based on the space-air-ground-sea integrated communication network of 6G, and put forward an intelligent task offloading algorithm based on Reinforcement Learning(RL), which migrates heavy computation tasks to suitable servers by means of cloud-edge-end cooperation. Simulation results show the superiority of the algorithm in time delay and energy efficiency.","","978-1-6654-4322-7","10.1109/SPAC53836.2021.9539979","National Key Research and Development Program of China(grant numbers:2019YFE0111600); National Natural Science Foundation of China(grant numbers:61971083,51939001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9539979","maritime Internet of Things;task offloading;Reinforcement Learning","6G mobile communication;Energy consumption;Simulation;Delay effects;Reinforcement learning;Delays;Servers","","12","","13","IEEE","27 Sep 2021","","","IEEE","IEEE Conferences"
"Spectrum-Learning-Aided Reconfigurable Intelligent Surfaces for “Green” 6G Networks","B. Yang; X. Cao; C. Huang; Y. L. Guan; C. Yuen; M. Di Renzo; D. Niyato; M. Debbah; L. Hanzo","Singapore University of Technology and Design; Singapore University of Technology and Design; Zhejiang University; Nanyang Technological University; Singapore University of Technology and Design; Université Paris-Saclay, CNRS, CentraleSupélec, Laboratoire des Signaux et Systèmes; Nanyang Technological University; Technology Innovation Institute; University of Southampton",IEEE Network,"20 Jan 2022","2021","35","6","20","26","In the sixth generation (6G) era, emerging large-scale computing-based applications (e.g., processing enormous amounts of images in real time in autonomous driving) tend to lead to excessive energy consumption for end users, whose devices are usually energy-constrained. In this context, energy efficiency becomes a critical challenge to be solved for harnessing these promising applications to realize “green” 6G networks. As a remedy, reconfigurable intelligent surfaces (RISs) have been proposed for improving energy efficiency by beneficially reconfiguring the wireless propagation environment. In conventional RIS solutions, however, the received signal-to-in-terference-plus-noise ratio (SINR) sometimes may become degraded. This is because the signals impinging on an RIS are typically contaminated by interfering signals that are usually dynamic and unknown. To address this issue, “learning” the properties of the surrounding spectral environment is a promising solution, motivating the convergence of artificial intelligence and spectrum sensing, referred to here as spectrum learning (SL). Inspired by this, we develop an SL-aided RIS framework for intelligently exploiting the inherent characteristics of the radio frequency spectrum for green 6G networks. Given the proposed framework, the RIS controller becomes capable of intelligently “thinking and deciding” whether or not to reflect the incident signals. Therefore, the received SINR can be improved by dynamically configuring the binary ON-OFF status of the RIS elements. The energy efficiency benefits attained are validated with the aid of a specific case study. Finally, we conclude with a list of promising future research directions.","1558-156X","","10.1109/MNET.110.2100301","National Natural Science Foundation of China(grant numbers:62101492); Fundamental Research Funds for the Central Universities(grant numbers:2021FZZX001-21); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687460","","6G mobile communication;Wireless communication;Wireless sensor networks;Green products;Learning (artificial intelligence);Interference;Reconfigurable intelligent surfaces","","19","","15","IEEE","20 Jan 2022","","","IEEE","IEEE Magazines"
"A Collaborative Statistical Actor-Critic Learning Approach for 6G Network Slicing Control","F. Rezazadeh; H. Chergui; L. Blanco; L. Alonso; C. Verikoukis","Telecommunications Technological Center of Catalonia (CTTC), Barcelona, Spain; Telecommunications Technological Center of Catalonia (CTTC), Barcelona, Spain; Telecommunications Technological Center of Catalonia (CTTC), Barcelona, Spain; Technical University of Catalonia (UPC), Barcelona, Spain; Telecommunications Technological Center of Catalonia (CTTC), Barcelona, Spain",2021 IEEE Global Communications Conference (GLOBECOM),"2 Feb 2022","2021","","","1","6","Artificial intelligence (AI)-driven zero-touch massive network slicing is envisioned to be a disruptive technology in beyond 5G (B5G)/6G, where tenancy would be extended to the final consumer in the form of advanced digital use-cases. In this paper, we propose a novel model-free deep reinforcement learning (DRL) framework, called collaborative statistical Actor-Critic (CS-AC) that enables a scalable and farsighted slice performance management in a 6G-like RAN scenario that is built upon mobile edge computing (MEC) and massive multiple-input multiple-output (mMIMO). In this intent, the proposed CS-AC targets the optimization of the latency cost under a long-term statistical service-level agreement (SLA). In particular, we consider the Q-th delay percentile SLA metric and enforce some slice-specific preset constraints on it. Moreover, to implement distributed learners, we propose a developed variant of soft Actor-Critic (SAC) with less hyperparameter sensitivity. Finally, we present numerical results to showcase the gain of the adopted approach on our built OpenAI-based network slicing environment and verify the performance in terms of latency, SLA Q-th percentile, and time efficiency. To the best of our knowledge, this is the first work that studies the feasibility of an AI-driven approach for massive network slicing under statistical SLA.","","978-1-7281-8104-2","10.1109/GLOBECOM46510.2021.9685218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9685218","B5G/6G;collaborative Actor-Critic;latency;mas-sive network slicing;statistical SLA;zero-touch","6G mobile communication;Costs;Sensitivity;Multi-access edge computing;Network slicing;Collaboration;Reinforcement learning","","7","","27","IEEE","2 Feb 2022","","","IEEE","IEEE Conferences"
"Key Technologies for Ultra-Reliable and Low-Latency Communication in 6G","B. Hassan; S. Baig; M. Asif",Comsats University Islamabad; Comsats University Islamabad; Sultan Qaboos University,IEEE Communications Standards Magazine,"25 Jun 2021","2021","5","2","106","113","With the fifth generation communication system in the phase of deployment, the research community has focused its attention toward a higher frequency spectrum, data rate in terabits per second, latency lower than 1 ms, and ultrahigh reliability. Communication systems having such characteristics are expected to be rolled out in the sixth generation. This article presents key technology enablers for deployment in ultra-re-liable and low-latency communications for 6G networks. In addition, the potential issues related to system security and spectrum management in 6G networks are also discussed. The significant technological enablers include machine learning, channel estimation, intelligent reflecting surfaces, terahertz communication, spectrum sharing, and system security, which possess the potential to revolutionaize the future of wireless communication networks.","2471-2833","","10.1109/MCOMSTD.001.2000052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465788","","6G mobile communication;Low latency communication;Security;Wireless communication;Radio spectrum management;Machine learning;Channel estimation","","21","","15","IEEE","25 Jun 2021","","","IEEE","IEEE Magazines"
