"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Functional Architecture for 6G Special-Purpose Industrial IoT Networks","N. H. Mahmood; G. Berardinelli; E. J. Khatib; R. Hashemi; C. De Lima; M. Latva-aho","6G Flagship, Centre for Wireless Communications, University of Oulu, Oulu, Finland; Department of Electronic Systems, Aalborg University, Aalborg, Denmark; University of Málaga, Málaga, Spain; 6G Flagship, Centre for Wireless Communications, University of Oulu, Oulu, Finland; Nokia Bell Labs, Oulu, Finland; 6G Flagship, Centre for Wireless Communications, University of Oulu, Oulu, Finland",IEEE Transactions on Industrial Informatics,"8 Mar 2023","2023","19","3","2530","2540","Future industrial applications will encompass compelling new use cases requiring stringent performance guarantees over multiple key performance indicators, such as reliability, dependability, latency, time synchronization, security, etc. Achieving such stringent and diverse service requirements necessitates the design of a special-purpose Industrial-Internet-of-Things (IIoT) network comprising a multitude of specialized functionalities and technological enablers. This article proposes an innovative architecture for such a special-purpose sixth generation (6G) IIoT network incorporating seven functional building blocks categorized into special-purpose functionalities and enabling technologies. The former consists of Wireless Environment Control, Traffic/Channel Prediction, Proactive Resource Management, and End-to-End Optimization functions, whereas the latter includes Synchronization and Coordination, Machine Learning and Artificial Intelligence Algorithms, and Auxiliary Functions. The proposed architecture aims at providing a resource-efficient and holistic solution for the complex and dynamically challenging requirements imposed by future 6G industrial use cases. Selected test scenarios are provided and assessed to illustrate cross-functional collaboration and demonstrate the applicability of the proposed architecture in a wireless IIoT network.","1941-0050","","10.1109/TII.2022.3182988","Academy of Finland within 6G Flagship program(grant numbers:346208); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795904","Artificial intelligence (AI);beyond fifth generation (5G);Industrial Internet of Things (IIoT);machine learning (ML);reconfigurable intelligent surfaces (RISs);sixth generation (6G);special-purpose networks;ultra-reliable low-latency communications","6G mobile communication;Industrial Internet of Things;Wireless communication;Wireless sensor networks;5G mobile communication;Reliability;Sensors","","25","","47","CCBY","14 Jun 2022","","","IEEE","IEEE Journals"
"Compatibility Analysis of IoT with 5G and 6G Communication","I. S. Samanta; P. K. Rout; M. R. Lenka; M. Cherukuri; K. Swain","Dept. of Computer Science and Engineering, Siksha ‘O’ Anusandhan University, Bhubaneswar, India; Department of Electrical and Electronics Engineering, Siksha ‘O’ Anusandhan University, India; School of Computer Engineering, KIIT Deemed to be University, India; Dept. of Electrical and Electronics Engineering, NIST Institute of Science and Technology, Berhampur, India; Dept. of Electrical and Electronics Engineering, NIST Institute of Science and Technology, Berhampur, India","2023 1st International Conference on Circuits, Power and Intelligent Systems (CCPIS)","27 Oct 2023","2023","","","1","6","The Internet of Things (IoT) has been the talk of the town for quite some time now, and its adoption is growing rapidly. With the growth of IoT, there is a need for high-speed communication networks to support a large number of connected devices and the data they generate. The fifth-generation (5G) and sixth-generation (6G) communication networks are being developed to address this need. This research paper aims to analyze the compatibility of IoT with 5G and 6G communication networks. The paper also discusses the potential benefits and challenges of using 5G and 6G in IoT applications","","979-8-3503-1576-9","10.1109/CCPIS59145.2023.10291311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10291311","6G;5G;Internet of Things;Communication networks;Innovation","6G mobile communication;Costs;5G mobile communication;Data transfer;Internet of Things;Communication networks;Security","","1","","18","IEEE","27 Oct 2023","","","IEEE","IEEE Conferences"
"Timely and Massive Communication in 6G: Pragmatics, Learning, and Inference","D. Gündüz; F. Chiariotti; K. Huang; A. E. Kalør; S. Kobus; P. Popovski","Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.; Department of Information Engineering, University of Padova, Padova, Italy; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K.; Department of Electronic Systems, Aalborg University, Aalborg, Denmark",IEEE BITS the Information Theory Magazine,"1 Apr 2024","2023","3","1","27","40","5G has expanded the traditional focus of wireless systems to embrace two new connectivity types: ultra-reliable low latency and massive communication. The technology context at the dawn of 6G is different from the past one for 5G, primarily due to the growing intelligence at the communicating nodes. This has driven the set of relevant communication problems beyond reliable transmission toward semantic and pragmatic communication. This article puts the evolution of low latency and massive communication toward 6G in the perspective of these new developments. At first, semantic/pragmatic communication problems are presented by drawing parallels to linguistics. We elaborate upon the relation of semantic communication to the information-theoretic problems of source/channel coding, while generalized real-time communication is put in the context of cyber-physical systems and real-time inference. The evolution of massive access toward massive closed-loop communication is elaborated upon, enabling interactive communication, learning, and cooperation among wireless sensors and actuators.","2692-4110","","10.1109/MBITS.2023.3322667","UK Research and Innovation; ERC-Consolidator(grant numbers:EP/X030806/1); European Commission; Italian National Recovery and Resilience Plan of NextGenerationEU; Young Researchers(grant numbers:SoE0000009); Research Grants Council of the Hong Kong SAR(grant numbers:HKU RFS2122-7S04); Areas of Excellence Scheme(grant numbers:AoE/E-601/22-R,17208319); Independent Research Fund Denmark(grant numbers:1056-00006B); Villum Investigator(grant numbers:“WATER”); Villum Fonden; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273599","6G;AI-based networking;massive access;machine-to-machine communications;pragmatic communication;semantic communication","Semantics;Pragmatics;Symbols;Reliability;Information theory;6G mobile communication;Real-time systems","","7","","30","CCBYNCND","6 Oct 2023","","","IEEE","IEEE Magazines"
"Lightweight Digital Twin and Federated Learning With Distributed Incentive in Air-Ground 6G Networks","W. Sun; S. Lian; H. Zhang; Y. Zhang","School of Cybersecurity, Northwestern Polytechnical University, Xi'an, China; School of Cyber Engineering, Xidian University, Xi'an, China; School of Cyber Engineering, Xidian University, Xi'an, China; University of Oslo, Oslo, Norway",IEEE Transactions on Network Science and Engineering,"24 Apr 2023","2023","10","3","1214","1227","The sixth-generation (6G) wireless network is conceptualized to provide ubiquitous and reliable network access through effective inter-networking among space, air, and terrestrial networks, while posing considerable pressure on dynamic network orchestration. Digital twin (DT) provides an alternative approach to proactively make real-time resource allocation by mapping and learning the complex network topology. However, the dual challenges of limited energy capacity and insufficient computing power of unmanned aerial vehicles make it difficult to establish digital twin on aerial networks. In light of this, in this paper, we propose a lightweight DT empowered air-ground network architecture, where the DT modelling task is distributed to diverse ground devices based on federated learning. To improve the efficiency of DT modelling, we design a distributed incentive mechanism that incentivizes high-performance ground devices to take part in federated learning. Considering the computing burden and possible private disclosure caused by the incentive, we further solve the incentive scheme with a new distributed algorithm. The optimal solution, such as the local training rounds and required accuracy of terminal devices, could be calculated in parallel on ground devices. Simulation results show the effectiveness of the proposed lightweight DT scheme in terms of energy consumption and model accuracy.","2327-4697","","10.1109/TNSE.2022.3217923","National Natural Science Foundation of China(grant numbers:62272391); Defense Industrial Technology Development Program(grant numbers:JCKY2020204B027,JCKY2021110B143,JCKY2021608B001); Key Industry Innovation Chain of Shaanxi(grant numbers:2021ZDLGY05-08); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931961","Federated learning;digital twin;air-ground network;incentive mechanism;stackelberg game","Computational modeling;Federated learning;Atmospheric modeling;Digital twins;Autonomous aerial vehicles;Analytical models;Resource management","","23","","37","IEEE","28 Oct 2022","","","IEEE","IEEE Journals"
"Intelligent transformation of 6G network by incorporating Expert Systems","T. Chauhan; R. P. N.","School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, India; School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, India","2023 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)","20 Mar 2023","2023","","","1","5","Expert Systems are currently being used in a number of fields, including automated translation, picture and speech recognition, fake news detection and many more. For starters, better standards for network latency, stability, better coverage and user experience are required as network services evolve. Operators and equipment suppliers are attempting to integrate Expert Systems into the network to support network automation and intelligent transformation in an effort to overcome these difficulties. However, in order to maximize the usefulness of an AI engine, significant amounts of data and computational power are needed. As a result, the interaction between Expert Systems is necessary for the future artificial intelligence network in the 5G and 6G era. In order to achieve smart resource management, intelligent service provisioning for 6G networks, this paper suggests an intelligent architecture based on Expert Systems. We identify crucial areas for further research and suggest potential fixes for expert system-based intelligent 6G networks.","2688-0288","979-8-3503-9874-8","10.1109/SCEECS57921.2023.10063099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063099","Expert Systems;6G;Performance Analysis;ADHOC;Mobile Network","6G mobile communication;5G mobile communication;Wireless networks;Stability criteria;Speech recognition;User experience;Resource management","","2","","25","IEEE","20 Mar 2023","","","IEEE","IEEE Conferences"
"Network Slice Mobility for 6G Networks by Exploiting User and Network Prediction","H. Yu; Z. Ming; C. Wang; T. Taleb","Oulu University, Oulu, Finland; Oulu University, Oulu, Finland; Tianjin University, Tianjin, China; Oulu University, Oulu, Finland",ICC 2023 - IEEE International Conference on Communications,"23 Oct 2023","2023","","","4905","4911","Beyond 5G applications, future 6G services would need to support very large data volumes for emerging industry verticals, such as holographic-type communications, as well as time-sensitive services, e.g., industrial control. Network slicing is the key technology to deliver such customizable services. Slices and their dedicated resources should be provisioned optimally where the services will be run with low network latencies and associated expenses. However, the user dynamics on resource demands within and between slices result in different resource re-allocation triggers, ultimately lead to distinct mobility patterns, e.g., scaling, migration, where sufficient resources must be transferred. Efficient slice mobility requires increasing flexibility in network operation and management to ensure the customized QoS while minimizing the corresponding mobility cost. In this paper, a prediction-based intelligent network analytic is proposed to facilitate the optimized network slice mobility scheme. We will investigate how to utilize the user and network prediction as the auxiliary information to make the slice mobility decision with the objective of maximizing the long-term profits while minimizing the latency and mobility cost. Finally, we evaluate the proposed prediction-based network slice mobility scheme in a simulated environment and compare its performance in terms of system costs, revenues, and profits with two benchmark solutions.","1938-1883","978-1-5386-7462-8","10.1109/ICC45041.2023.10279739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10279739","","6G mobile communication;Performance evaluation;Intelligent networks;Costs;Network slicing;Quality of service;Benchmark testing","","4","","15","IEEE","23 Oct 2023","","","IEEE","IEEE Conferences"
"In-Network Pooling: Contribution-Aware Allocation Optimization for Computing Power Network in B5G/6G Era","Z. Di; T. Luo; C. Qiu; C. Zhang; Z. Liu; X. Wang; J. Jiang","College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; Institute of Technology, Tianjin University of Finance and Economics, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; Shanxi Key Laboratory of Information Communication Network and Security, Xi'an University of Posts and Telecommunications, Shaanxi, China",IEEE Transactions on Network Science and Engineering,"24 Apr 2023","2023","10","3","1190","1202","The coming B5G/6G will bring a huge amount of challenging applications with zettabytes of information. Computing power network (CPN) can provide a promising solution by accelerating the proliferation of computing power from a set of data centers to a multitude of network edges. However, in dealing with resource-hungry and real-time applications, most of the existing research doesn't make good use of idle computing and caching resources, and is barely possible to evaluate the contribution of the individual providing the resource. Therefore, we propose the in-network pooling framework, derived from a novel modified deep reinforcement learning (DRL) scheme, in which the dynamic resource pool (RP) is first modeled to make full use of the idle network resources, then the jointly computing and caching problem is formulated as the maximization of long-term system utility. Finally, Attention-based Proximal Policy Optimization (APPO) is employed to solve the problem. Particularly, the integrated attention mechanism reveals the evaluation of the different RPs' contributions to the learning process. Experimental results also show the priorities of the proposed algorithm and outperform the other existing algorithms.","2327-4697","","10.1109/TNSE.2022.3225292","National Natural Science Foundation of China(grant numbers:62072332); China NSFC(grant numbers:62002260); Open Fund for Key Laboratory of Dependable Service Computing in Cyber Physical Society; Chongqing University(grant numbers:CPSDSC202209); Open Fund for Shaanxi Key Laboratory of Information Communication Network and Security; Xi'an University of Posts Telecommunications(grant numbers:ICNS201901); Open Research Fund from Guangdong Laboratory of Artificial Intelligence and Digital Economy(grant numbers:GML-KF-22-03); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965610","Attention mechanism;computing and caching;computing power network (CPN);proximal policy optimization (PPO);resource allocation","Resource management;Computational modeling;Computer architecture;Task analysis;Mobile handsets;Servers;Performance evaluation","","7","","49","IEEE","29 Nov 2022","","","IEEE","IEEE Journals"
"Evolution and Potential Application of 6G Wireless Communication in Smart Cities","A. Chakradhar; S. K. G; D. K. V; J. Sristi; P. Pavan Kumar; Karthikraj","Department of ECE, School of Engineering, SR Universtity, Warangal, Telangana; Department of CSE (Cyber Security), CVR College of Engineering, Hyderabad, Telangana, India; Electrical and Electronics Engineering, JKKN College of Engineering and Technology, Komarapalayam; Santhiram Engineering College, Nandyal; ECE, Vignan Institute of Technology and Science, Hyderabad, Telangana; Department of IT, St. Martin's Engineering College, Secunderabad, Telangana, India","2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)","26 Feb 2024","2023","10","","536","540","The three primary focuses of this research are the significance of IoT information technology, the use of 6G wireless connections, and advancements in smart cities. Using energy-efficient 6G IoT devices, smart cities may be upgraded to super-smart cities. There will soon be more than fifty billion Internet of Things devices, but little is known about the 6G wireless connection technology, which uses less energy. The introduction of wireless networks has altered the way people connect and communicate with one another. Cellular technology's future generation, 6G, has the potential to expedite this shift. The future of 6G wireless networks will be impacted by a number of major technologies, including terahertz communication, optical interactions, ultra-massive MIMO, AI, quantum information technology, block chain, and intelligent reflection surface, which we summarise in this study(l).","2687-7767","979-8-3503-8247-1","10.1109/UPCON59197.2023.10434562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434562","Wireless communication;6 G;smart cities","6G mobile communication;Smart cities;Wireless networks;Market research;Energy efficiency;Internet of Things;Information technology","","","","14","IEEE","26 Feb 2024","","","IEEE","IEEE Conferences"
"Active-IRS-Enabled Energy-Efficiency Optimizations for UAV-Based 6G Mobile Wireless Networks","F. Wang; X. Zhang","Chongqing Key Laboratory of Non-linear Circuit and Intelligent Information Processing College of Electronic and Information Engineering, Southwest University, Chongqing, China; Department of Electrical and Computer Engineering, Networking and Information Systems Laboratory, Texas A&M University, College Station, TX, USA",2023 57th Annual Conference on Information Sciences and Systems (CISS),"10 Apr 2023","2023","","","1","6","We propose the novel scheme to solve a multi-objective optimization problem over an unmanned aerial vehicle (UAV) communications system to jointly minimize the energy consumption of the UAV and ground users (GUs). In particular, the UAV communicates with multiple GUs using active intelligent reflecting surfaces (IRSs), which can actively amplify and thus significantly enhance the strengths of reflected signals. We develop an energy minimization scheme based on the multi-objective hierarchical deep reinforcement learning (DRL), by decomposing the formulated optimization problem into two-layered subproblems. By solving the upper-level subproblem, we derive the optimal UAV trajectory and GUs scheduling strategies to minimize the UAV's energy consumption. By solving the lower-level subproblem, we obtain the IRS's phase shifts and amplification factors and GUs' transmit/receive beamforming to minimize the GUs' energy consumption. Finally, we validate and evaluate the proposed schemes through simulations, which show that the UAV's and GUs' energy consumption can be significantly reduced by using the active IRS, when the thermal noise powers at the IRS are much smaller than those at the UAV and GUs.","","978-1-6654-5181-9","10.1109/CISS56502.2023.10089767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10089767","UAV;active IRS;multi-objective optimization;hierarchical DRL;DDPG","Energy consumption;Communication systems;Wireless networks;Reinforcement learning;Autonomous aerial vehicles;Minimization;Thermal noise","","3","","9","IEEE","10 Apr 2023","","","IEEE","IEEE Conferences"
"Digital Twin and Artificial Intelligence for Intelligent Planning and Energy-Efficient Deployment of 6G Networks in Smart Factories","D. Xia; J. Shi; K. Wan; J. Wan; M. Martínez-García; X. Guan","South China University of Technology, China; Shanxi Datong University, China; The Hong Kong Polytechnic University, HK; South China University of Technology, China; Loughborough University, UK; Heilongjiang University, China",IEEE Wireless Communications,"13 Jul 2023","2023","30","3","171","179","Terahertz and higher frequency band wireless communication technologies represent the most promising spectrums for 6G networks. Compared to 4G/5G networks, 6G networks operate in a higher frequency band with greater propagation and penetration losses, which may bring serious challenges to network planning and green communications. The digital twin (DT) technology is able to model and simulate wireless networks to improve network performance and deployment efficiency. The artificial intelligence (AI) algorithms provide strong self-evolution and self-optimization capabilities, enabling the generation of an intelligent network. To achieve intelligent, energy-efficient, and cost-effective deployment of 6G networks in smart factories, this article proposes a DT-based system architecture and a mobile-enhanced edge computing-cloud collaborative mechanism for handling diverse and complex data. Moreover, a DT and AI-based method is developed to enable intelligent planning and deployment of 6G networks in factories, which improves network performance while reducing operational costs.","1558-0687","","10.1109/MWC.017.2200495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10183804","","6G mobile communication;Network topology;Systems architecture;Bandwidth;Throughput;Energy efficiency;Production facilities","","8","","15","IEEE","13 Jul 2023","","","IEEE","IEEE Magazines"
