"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Toward AI-Enabled Green 6G Networks: A Resource Management Perspective","N. Alhussien; T. Aaron Gulliver","Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada; Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada",IEEE Access,"1 Oct 2024","2024","12","","132972","132995","The development of 6G wireless networks is driven by the pressing need for reliable connectivity in the increasingly intelligent Internet of Things (IoT) ecosystem. The goal of these networks is to seamlessly connect individuals, devices, vehicles, and resources such as the cloud. However, the heterogeneity and complexity of 6G due to the proliferation of devices, diverse applications, and the need for green and sustainable communication networks, pose significant Resource Management (RM) challenges. Furthermore, the stringent requirements of 6G networks for Quality-of-Service (QoS), scalability, intelligence, and security can make traditional RM approaches ineffective, particularly considering Energy Efficiency (EE). In response to these challenges, Artificial Intelligence (AI) has been considered to provide green RM. AI techniques can be used to efficiently manage network resources, balance energy demands, optimize EE, and integrate Energy Harvesting (EH). This paper examines 6G networks from an AI perspective to optimize resource allocation, minimize energy consumption, and maximize network performance. The focus is on RM within these networks considering Radio Resource Management (RRM), Computing and Caching Resource Management (CCRM), and Communication Network Resource Management (CNRM). The emphasis is on RM within the Cellular Network Infrastructure (CNI) and Machine Type Communications (MTC). AI models for efficient resource utilization to enhance EE and network performance are investigated. It is shown that AI plays a pivotal role in achieving green RM within 6G networks. Future research directions are outlined for intelligent networks to meet the growing demands and emerging challenges.","2169-3536","","10.1109/ACCESS.2024.3460656","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10679787","6G;artificial intelligence (AI);computing and caching resource management (CCRM);communication network resource management (CNRM);energy efficiency (EE);green communications;key performance indicators (KPIs);quality-of-service (QoS);radio access network (RAN);resource management (RM);radio resource management (RRM)","6G mobile communication;Artificial intelligence;Resource management;Quality of service;Real-time systems;Green products;Throughput;Cache storage;Communication systems;Energy efficiency;Radio access networks","","","","128","CCBYNCND","13 Sep 2024","","","IEEE","IEEE Journals"
"Emerging Technologies for 6G Non-Terrestrial-Networks: From Academia to Industrial Applications","C. T. Nguyen; Y. M. Saputra; N. V. Huynh; T. N. Nguyen; D. T. Hoang; D. N. Nguyen; V. -Q. Pham; M. Voznak; S. Chatzinotas; D. -H. Tran","Institute of Fundamental and Applied Sciences, Duy Tan University, Ho Chi Minh City, Vietnam; Internet Engineering Technology, Department of Electrical Engineering and Informatics, Vocational College, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical Engineering and Electronics, University of Liverpool, Liverpool, U.K.; Communication and Signal Processing Research Group, Faculty of Electrical and Electronics Engineering, Ton Duc Thang University, Ho Chi Minh City, Vietnam; School of Electrical and Data Engineering, University of Technology Sydney, Sydney, Australia; School of Electrical and Data Engineering, University of Technology Sydney, Sydney, Australia; Nokia Bell Labs, Murray Hill, NJ, USA; Department of Telecommunications, Faculty of Electrical Engineering and Computer Science, VSB-Technical University of Ostrava, Ostrava, Czechia; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg; Nokia, Boulogne-Billancourt, France",IEEE Open Journal of the Communications Society,"15 Jul 2024","2024","5","","3852","3885","Terrestrial networks form the fundamental infrastructure of modern communication systems, serving more than 4 billion users globally. However, terrestrial networks are facing a wide range of challenges, from coverage and reliability to interference and congestion. As the demands of the 6G era are expected to be much higher, it is crucial to address these challenges to ensure a robust and efficient communication infrastructure for the future. To address these problems, Non-terrestrial Network (NTN) has emerged to be a promising solution. NTNs are communication networks that leverage airborne (e.g., unmanned aerial vehicles) and spaceborne vehicles (e.g., satellites) to facilitate ultra-reliable communications and connectivity with high data rates and low latency over expansive regions. This article aims to provide a comprehensive survey on the utilization of network slicing, Artificial Intelligence/Machine Learning (AI/ML), and Open Radio Access Network (ORAN) to address diverse challenges of NTNs from the perspectives of both academia and industry. Particularly, we first provide an in-depth tutorial on NTN and the key enabling technologies including network slicing, AI/ML, and ORAN. Then, we provide a comprehensive survey on how network slicing and AI/ML have been leveraged to overcome the challenges that NTNs are facing. Moreover, we present how ORAN can be utilized for NTNs. Finally, we highlight important challenges, open issues, and future research directions of NTN in the 6G era.","2644-125X","","10.1109/OJCOMS.2024.3418574","European Union through the REFRESH Project - Research Excellence for Region Sustainability and High-Tech Industries of the European Just Transition Fund(grant numbers:CZ.10.03.01/00/22_003/0000048); Ministry of Education, Youth and Sports of the Czech Republic (MEYS CZ) through the Project SGS ID(grant numbers:SP 061/2024); VSB - Technical University of Ostrava; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570308","NTN;network slicing;AI/ML;ORAN;and 6G","Network slicing;Satellite broadcasting;Surveys;6G mobile communication;Autonomous aerial vehicles;Industries;Low latency communication","","5","","143","CCBYNCND","24 Jun 2024","","","IEEE","IEEE Journals"
"AI-Powered Optimization: Revolutionizing 6G Networks for Efficiency and Performance","K. Tamilarasi; S. Pavithra; R. Rangarajan; V. Venkataraman; K. S. P","SCOPE, Vellore Institute of Technology, Chennai, India; SCOPE, Vellore Institute of Technology, Chennai, India; SCOPE, Vellore Institute of Technology, Chennai, India; SCOPE, Vellore Institute of Technology, Chennai, India; SCOPE, Vellore Institute of Technology, Chennai, India",2024 Third International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN),"13 Sep 2024","2024","","","1","6","This paper investigates the efficiency and performance gains that may be realized by integrating AI into 6G networks. In addition to covering power distribution, channel estimations, and security in 5G and 6G, it looks at the synergies between AI algorithms, machine learning models, and new communication technologies. The study covers AI-based channel estimation, DL models for cell-free networks, and deep reinforcement learning for beam training. It focusses on the shift from 5G to 6G, spotlighting innovations such as meta-surfaces and phased antenna arrays. All things considered, the study shows how important AI will be in building intelligent, flexible, and responsive mobile networks in the future.","","979-8-3503-9156-5","10.1109/ICSTSN61422.2024.10670928","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670928","Artificial Intelligence;6G;Beamforming;Entropy;Dynamic resource allocation;antenna arrays","6G mobile communication;Phased arrays;Training;Technological innovation;5G mobile communication;Channel estimation;Power distribution","","","","16","IEEE","13 Sep 2024","","","IEEE","IEEE Conferences"
"Influence of AI and MAS in Enhancing Energy Efficiency of 6G Communications","D. Negi; F. Prakash; A. Gupta","Department of Computer Science and Engineering, Tula's Institute, Dehradun, India; Department of Computer Science and Information Technology, Jain (Deemed to be University), Bangalore, India; Department of Electronical and Electronics Engineering, Noida Institute of Engineering and Technology, Greater Noida, Uttar Pradesh, India","2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)","23 Jul 2024","2024","","","234","238","Next-generation Internet of Things (IoT) is progressing rapidly due to the introduction of beyond 5G (B5G) and the approaching arrival of 6G, which have improved the dependability, productivity, and profitability of both industrial and personal operations. Nevertheless, data overload is frequently caused by the abundance of wireless sensors in commercial 6G devices. Data mining gathers useful information in order to solve this. Meanwhile, in the 6G architecture, edge computing enables automated equipment operations and intelligent decision-making in real-time. Even so, despite the drawbacks of sensor-based energy sources, the integration of many technologies has led to an increase in energy. Using a multi-agent system (MAS) approach, a system model for industrial wireless sensor networks in 6G applications has been presented in order to combat this. Sensor node clustering locates and forecasts the locations of principal nodes by employing distributed artificial intelligence (DAI). Convolutional neural networks (CNN) and back-propagation neural networks (BPNN) are used in optimisation. Allocating resources to individual nodes efficiently is made possible by the analysis of inter-cluster correlations. The outcomes of the simulation show how well the approach works to reduce resource waste, increase overall energy efficiency, and protect important data. This strategy improves network performance in industrial 6G applications while simultaneously addressing concerns about energy consumption.","","979-8-3503-6684-6","10.1109/IC3SE62002.2024.10593501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10593501","Artificial Intelligence (AI);Machine Learning (ML);Sixth Generation (6G);Technology Transformations and Communication Ecosystem","6G mobile communication;Wireless communication;Productivity;Wireless sensor networks;Profitability;Energy efficiency;Real-time systems","","","","43","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
"6G-enabled Situation-Aware ML-assisted UTM (6G-SAMU)","B. Zarai; L. Nasraoui; R. Boussada; S. Boudjit","COSIM Research Lab, Higher School of Communications (SUP’COM), University of Carthage, Tunisia; COSIM Research Lab, Higher School of Communications (SUP’COM), University of Carthage, Tunisia; National School of Computer Science (ENSI), University of Manouba, Tunisia; L2TI, Institut Galilée, University of Sorbonne Paris Nord, France",2024 International Wireless Communications and Mobile Computing (IWCMC),"17 Jul 2024","2024","","","1797","1802","In Unmanned Aerial System (UAS) Traffic Management (UTM) environment, small UASs generally fly at lower altitudes than large manned aircraft and their transmission power is very limited. They also fly shorter distances and more densely populated in the airspace than their manned counterparts. Therefore, a finer control and more frequent updates are necessary for their traffic control. To cope with the special requirements in UTM, we here explore and compare the potential of three machine learning models to help safe UAS operation, built on the 3GPP ecosystem model, through awareness about weather conditions. The proposed algorithm operates in two steps, wherein the first step it predicts the wind speed that it exploits during the second step to allow or stop a flight depending on the characteristics of the drone. The prediction process also covers two modes: i) premature 24 -hour prediction for an early decision, and ii) One-hour prediction for a refined final decision. Depending on the weather conditions (stable or frequently changing), the proposed algorithm can use either the premature or the hourly mode.","2376-6506","979-8-3503-6126-1","10.1109/IWCMC61514.2024.10592449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10592449","6G;situational awareness;UAS;UTM;Machine Learning;wind speed;UAV operation planning","6G mobile communication;Wireless communication;Time-frequency analysis;Wind speed;Biological system modeling;Atmospheric modeling;Traffic control","","","","32","IEEE","17 Jul 2024","","","IEEE","IEEE Conferences"
"A Multi-Level Deep RL-Based Network Slicing and Resource Management for O-RAN-Based 6G Cell-Free Networks","N. Ghafouri; J. S. Vardakas; K. Ramantas; C. Verikoukis","Iquadrat Informatica, Barcelona, Spain; Iquadrat Informatica S. L., Barcelona, Spain; Iquadrat Informatica, Barcelona, Spain; ISI/ATHINA, Greece, CEID, University of Patras, Patra, Greece",IEEE Transactions on Vehicular Technology,"7 Nov 2024","2024","73","11","17472","17484","With the deployment of the fifth generation (5G) of cellular networks, the focus of the information society has switched to the next era in which the limitations of 5G will be addressed, and the emerging services and applications will be satisfied. The sixth generation (6G) of wireless networks is envisioned to answer all demands of the next decade, which is only possible with advances in network design and management. This paper first presents a 6G-based network architecture that deploys emerging technologies, including Open-Radio Access Network (O-RAN) and Cell-Free massive Multiple-Input-Multiple-Output (CF mMIMO). Then, a hierarchical network slicing and resource management approach compatible with the presented architecture is defined. The proposed novel Reinforcement Learning (RL)-based scheme benefits from the openness of O-RAN to provide two levels of centralized multi-agent decision-making and decentralized single-agent execution for choosing proper service types by following the objective of maximizing the system capacity while guaranteeing the defined Quality of Service (QoS). To demonstrate the performance of the management method, Deep RL (DRL)-based algorithms for each level are proposed. Finally, the presented simulation results illustrate the effectiveness of the proposed solution in terms of peak data rate, user-experienced data rate, and latency.","1939-9359","","10.1109/TVT.2024.3415656","Research Program H2020 MARSAL(grant numbers:GA 101017171); H.F.R.I project ENABLE-6G(grant numbers:ID:16294); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10561624","6G networks;open ran;cell-free networks;network slicing;reinforcement learning","6G mobile communication;Network slicing;5G mobile communication;Resource management;Quality of service;Base stations;Monitoring","","1","","67","IEEE","18 Jun 2024","","","IEEE","IEEE Journals"
"Machine Learning-Based Resource Allocation Algorithms for 6G Networks","S. Anjum; D. Upadhyay; K. Singh; P. Upadhyay","Department of CSE, Noida Institute of Engineering and Technology; Computer Science and Engineering, Graphic Era Hill University, Dehradun, Uttarakhand, India; Department of CSE, Ajay Kumar Garg Engineering College, Ghaziabad, UP, India; Department of Computer Science and Engineering, School of Engineering and Technology, Sharda University, Gautam Budh Nagar, India",2024 2nd International Conference on Disruptive Technologies (ICDT),"11 Apr 2024","2024","","","1086","1091","Machine Learning-Based Resource Allocation Algorithms (MLRA) have emerged as a viable solution to the challenges posed by the next generation (6G) of network infrastructure. Compared to traditional algorithms, MLRA are more adaptive and provide a better utilization of available resources. The algorithms are able to determine the optimal parameters for resource allocation based on observed network behaviour. As 6G networks become increasingly used, MLRA will be crucial in ensuring that resources are efficiently and effectively allocated. The algorithms can identify when unutilized resources are available and quickly reallocate them to more successful users or applications. 6G networks are expected to provide gigabit speeds and up to 1000x bandwidth increase. This requires intelligent resource allocation algorithms which can quickly and accurately respond to changing user behaviour and demand. MLRA will be critical in enabling this shift and allowing users to benefit from the features and performance of 6G networks.","","979-8-3503-7105-5","10.1109/ICDT61202.2024.10489587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489587","Deep Learning;Reinforcement Learning;Quantum Computing;Autonomic Computing;Artificial Intelligence","6G mobile communication;Energy consumption;Machine learning algorithms;Heuristic algorithms;Scalability;Machine learning;Dynamic scheduling","","4","","15","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"Leveraging LLMs to eXplain DRL Decisions for Transparent 6G Network Slicing","M. Ameur; B. Brik; A. Ksentini","EURECOM, Sophia-Antipolis, France; Computer Science Department, College of Computing and Informatics, Sharjah University, Sharjah, UAE; EURECOM, Sophia-Antipolis, France",2024 IEEE 10th International Conference on Network Softwarization (NetSoft),"10 Jul 2024","2024","","","204","212","The emergence of 6G networks heralds a transformative era in network slicing, facilitating tailored service delivery and optimal resource utilization. Despite its promise, network slice optimization heavily relies on Deep Reinforcement Learning (DRL) models, often criticized for their black-box decision-making processes. This paper introduces a novel Composable eXplainable Reinforcement Learning (XRL) framework customized for distributed systems like 6G Network Slicing. The proposed framework leverages Large Language Models (LLMs) and Prompt Engineering techniques to elucidate DRL algorithms’ decision-making mechanisms, with a specific emphasis on user profiles. The latter transforms the inherently opaque nature of DRL into an interpretable textual format accessible not only to eXplainable AI (XAI) experts but also to diverse network slice provider stakeholders, engineers, leaders, and beyond. Experimental results underscore the efficacy of the proposed Composable XRL framework, showcasing substantial improvements in transparency and comprehensibility of DRL decisions within the context of 6G network slicing.","2693-9789","979-8-3503-6958-8","10.1109/NetSoft60951.2024.10588921","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10588921","Explainable Reinforcement Learning;Composable XRL;LLMs;Admission Control;6G Network Slicing","6G mobile communication;Regulators;Network slicing;Decision making;Closed box;Transforms;Stakeholders","","","","16","IEEE","10 Jul 2024","","","IEEE","IEEE Conferences"
"Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks","N. Khan; S. Coleri; A. Abdallah; A. Celik; A. M. Eltawil","Koc University, Turkey; Koc University, Turkey; King Abdullah University of Science and Technology, Saudi Arabia; King Abdullah University of Science and Technology, Saudi Arabia; King Abdullah University of Science and Technology, Saudi Arabia",IEEE Communications Magazine,"8 Apr 2024","2024","62","4","50","56","Artificial intelligence (AI) is expected to be an integral part of radio resource management (RRM) in sixth-generation (6G) networks. However, the opaque nature of complex deep learning (DL) models lacks explainability and robustness, posing a significant hindrance to adoption in practice. Furthermore, wireless communication experts and stakeholders, concerned about potential vulnerabilities, such as data privacy issues or biased decision-making, express reluctance to fully embrace these AI technologies. To this end, this article sheds light on the importance and means of achieving explainability and robustness toward trustworthy AI-based RRM solutions for 6G networks. We outline a range of explainable and robust AI techniques for feature visualization and attribution; model simplification and interpretability; model compression; and sensitivity analysis, then explain how they can be leveraged for RRM. Two case studies are presented to demonstrate the application of explainability and robustness in wireless network design. The former case focuses on exploiting explainable AI methods to simplify the model by reducing the input size of deep reinforcement learning agents for scalable RRM of vehicular networks. On the other hand, the latter case highlights the importance of providing interpretable explanations of credible and confident decisions of a DL-based beam alignment solution in massive multiple-input multiple-output systems. Analyses of these cases provide a generic explainability pipeline and a credibility assessment tool for checking model robustness that can be applied to any pre-trained DL-based RRM method. Overall, the proposed framework offers a promising avenue for improving the practicality and trustworthiness of AI-empowered RRM.","1558-1896","","10.1109/MCOM.001.2300172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10292755","","Robustness;Artificial intelligence;Data models;Analytical models;6G mobile communication;Complexity theory;Predictive models;Resource management;Explainable AI;Trusted computing","","10","","15","IEEE","23 Oct 2023","","","IEEE","IEEE Magazines"
"Deep Learning Based Advanced Estimation of Wireless Channels State Information for 6G Communication","A. Yogaraj; T. R. D. Kumar; A. Mohammed Ovaiz; K. Kamesh; V. Mohan Krishna; D. S. Aswin","Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai; Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai; Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai; Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai; Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai; Department of Electronics and Communication Engineering, Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai","2024 International Conference on Recent Advances in Electrical, Electronics, Ubiquitous Communication, and Computational Intelligence (RAEEUCCI)","12 Jun 2024","2024","","","1","6","The last few decades have seen an exponential increase in the demand for wireless connectivity. A channel estimator is a successful strategy for transferring data over wireless channels and is remarkably proficient. There will be an enormous rise in the pilot overhead for channel estimation because the dimension of the channels to be estimated is much greater than in traditional systems. It is the main issue created in channel estimation. Therefore, the deep learning-based advanced estimation of wireless channel state information for 6G communication is proposed in this research. A proposed Deep Learning (DL)-based channel estimation algorithm using the Deep Neural Network (DNN). Deep Learning (DL) is widely recognized for its capacity to offer an extensive selection of regulation strategies for various protocol levels and comprehensive assessment for intricate wireless networks containing large volumes of data. This paper aims to address important problems and potential fixes in Channel State Information (CSI) feedback and DL-based wireless channel estimation, covering the choice of DL model, acquisition of training data, and 6G neural network structure. The DL-based channel estimator is used to refine the estimated channel output, which is then used to enrich the total effectiveness and dependability of the communication system. The suggested method is appropriate for real-world communication scenarios because it not only provides increased channel estimation accuracy but also depicts specificity in response to shifting channel issues.","","979-8-3503-5453-9","10.1109/RAEEUCCI61380.2024.10547841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547841","6G;AI (Artificial Intelligent);Deep Neural Network (DNN);DL (Deep Learning) Based Channel Estimator;CSI (Channel State Information)","Wireless communication;6G mobile communication;Deep learning;Transmitters;Wireless networks;Channel estimation;Estimation","","","","15","IEEE","12 Jun 2024","","","IEEE","IEEE Conferences"
